name,party,district,onfb,onptt,total
馬凱妮,社會福利黨,高雄市第8選舉區,0,3,3
黃嘉華,健保免費連線,不分區,0,3,3
蘇卿彥,無黨籍,新北市第3選舉區,0,3,3
傅建峰,中華統一促進黨,台南市第4選舉區,3,0,3
許永金,無黨籍,彰化縣第2選舉區,0,3,3
古文發,大愛憲改聯盟,台北市第6選舉區,0,3,3
曾玉瓊,民國黨,不分區,2,0,2
鄭美蘭,親民黨,不分區,0,2,2
藍大山,台灣獨立黨,桃園市第6選舉區,0,2,2
張孟崇,中華統一促進黨,不分區,0,2,2
魏千妮,軍公教聯盟黨,不分區,0,2,2
鄭振源,台灣未來黨,桃園市第6選舉區,0,2,2
賴樹聲,無黨籍,台北市第8選舉區,0,2,2
汪成華,健保免費連線,新北市第7選舉區,0,2,2
蔡慧玲,民國黨,不分區,0,2,2
黃金推,無黨籍,台中市第1選舉區,0,2,2
王榮德,無黨籍,新竹市選舉區,0,2,2
吳振槖,台灣獨立黨,桃園市第2選舉區,0,2,2
林建志,健保免費連線,新北市第8選舉區,1,1,2
黃秀龍,無黨籍,新竹縣選舉區,0,2,2
伊藍明基努安,信心希望聯盟,山地原住民選舉區,1,1,2
林珍妤,台灣獨立黨,台北市第6選舉區,0,1,1
陳德輝,台灣工黨,金門縣選舉區,1,0,1
黃福卿,無黨籍,台北市第5選舉區,0,1,1
賀姿華,無黨籍,台中市第6選舉區,0,1,1
蕭家亮,無黨籍,桃園市第5選舉區,0,1,1
黃漢東,台灣工黨,澎湖縣選舉區,0,1,1
林芷芬,台灣獨立黨,台北市第7選舉區,0,1,1
胡祖慶,親民黨,不分區,0,1,1
林文傑,無黨籍,台北市第7選舉區,0,1,1
林金瑛,健保免費連線,平地原住民選舉區,0,1,1
卓恩宗,信心希望聯盟,新竹縣選舉區,0,1,1
何偉真,親民黨,不分區,0,1,1
Kolas Yotaka,民進黨,不分區,1,0,1
劉文忠,自由台灣黨,苗栗縣第2選舉區,0,1,1
黃迺毓,信心希望聯盟,不分區,1,0,1
李岳峰,和平鴿聯盟黨,台北市第4選舉區,1,0,1
李淑慧,自由台灣黨,不分區,0,1,1
丁文祺,台灣團結聯盟,不分區,1,0,1
蘇恆,新黨,不分區,1,0,1
黃千明,大愛憲改聯盟,不分區,0,1,1
黃麗香,無黨籍,台北市第3選舉區,1,0,1
黃憲清,自由台灣黨,台南市第2選舉區,0,1,1
林光義,台灣第一民族黨,平地原住民選舉區,1,0,1
